Topic,Yield Score,Verdict,Is Tagged?,Years Found,Key Fact
A Portrait of the Artist as a Young Man 1916,190,🔥 CRITICAL,YES,,"Joyce’s first novel, published in 1916."
Nineteen EightyFour 1949,190,🔥 CRITICAL,YES,,Novel is dystopian social science fiction —
Dover Beach 1867,180,🔥 CRITICAL,YES,,It is a lyric poem from the Victorian Age.
Sons and Lovers 1913,180,🔥 CRITICAL,YES,,Sons and Lovers published in 1913.
William Wordsworth Literary Career,180,🔥 CRITICAL,YES,,His earliest verses imitated Alexander Pope.
Samuel Johnsons Preface to Shakespeare 1765,180,🔥 CRITICAL,YES,,Published in 1765; 72 pages long.
Theatre of the Absurd,180,🔥 CRITICAL,YES,"2024, 2025",Theatre of the Absurd emerged post–World War II.
Samuel Pepys 16331703,180,🔥 CRITICAL,YES,,Diary was written in private cipher.
RESTORATION COMEDY,180,🔥 CRITICAL,YES,"2024, 2025",Comedy of Manners = Restoration Comedy .
Tess of the DUrbervilles 1891,180,🔥 CRITICAL,YES,,Full title: A Pure Woman Faithfully Presented.
The Rime of the Ancient Mariner,170,🔥 CRITICAL,YES,"2024, 2025","Coleridge’s longest poem, written in 1797–98."
John Miltons Early to Mature Works,170,🔥 CRITICAL,YES,,Ode on the Morning of Christ’s Nativity (1629).
Finnegans Wake 1939,170,🔥 CRITICAL,YES,,James Joyce’s Finnegans Wake published in 1939.
Poetics,165,🔥 CRITICAL,YES,"2024, 2025",Only tragedy and epic survive .
Keatss Letters Asked in Exam,160,🔥 CRITICAL,YES,,Keats's Letters:
Animal Farm 1945,160,🔥 CRITICAL,YES,,Allegory of Russian Revolution 1917 .
John Ruskin 18191900,160,🔥 CRITICAL,YES,,First major work: Modern Painters (1843).
E M Forsters full name Edward Morgan Forster Asked in Exam,160,🔥 CRITICAL,YES,,E. M. Forster’s full name: Edward Morgan Forster.
King Lear 1605,160,🔥 CRITICAL,YES,,King Lear divides kingdom among three daughters.
1711 An Essay on Criticism Asked in Exam,160,🔥 CRITICAL,YES,,1711: An Essay on Criticism
Great Expectations 18601861,160,🔥 CRITICAL,YES,,Published serially in All the Year Round.
Lord Byron 18161818 Phase,150,🔥 CRITICAL,YES,,The Prisoner of Chillon written in 1816.
The Prelude 1850,150,🔥 CRITICAL,YES,,"Full title: The Prelude, or Growth of a Poet’s Mind."
Plato 427 347 BC Dialogues Criticism and the Realm of Ideas,150,🔥 CRITICAL,YES,,"Founded Academy near Athens, 387 B.C. ."
Hamlet 1601,150,🔥 CRITICAL,YES,,"Play set in Elsinore Castle, Denmark 🏰"
Samuel Johnson 17091784 Criticism Lexicography and Literary Authority,150,🔥 CRITICAL,YES,,Supported Tory ideology and transcendental scepticism .
III Satirical and Cultural Voices,150,🔥 CRITICAL,YES,,Jonathan Swift born in Dublin in 1667
6 The Prioress Madame Eglantine,150,🔥 CRITICAL,YES,,"“There was also a Nun, a Prioress” ."
Cultural Studies definition scope interdisciplinarity,150,🔥 CRITICAL,YES,,Cultural Studies emerged formally in 1960s.
Victorian Era 18371901,140,🔥 CRITICAL,YES,,Victorian Era spanned from 1837 to 1901.
Asked in Exam,140,🔥 CRITICAL,YES,,
Frankenstein,140,🔥 CRITICAL,YES,"2024, 2025",Conceived during 1816 ghost-story contest at Lake Geneva.
Kubla Khan 1797  1816,140,🔥 CRITICAL,YES,,It was published later in 1816.
Samuel Taylor Coleridge 17721834,140,🔥 CRITICAL,YES,,"At ten, entered Christ’s Hospital School."
A Passage to India 1924  by EM Forster,130,🔥 CRITICAL,YES,,Title derived from Walt Whitman’s “Passage to India.”
Poem,130,🔥 CRITICAL,YES,,"The curfew tolls the knell of parting day,"
Raymond Williams 19211988 Culture as Ordinary and Material,130,🔥 CRITICAL,YES,,Famous slogan: “Culture is ordinary” .
Major Works of Edgar Allan Poe Chronological List,130,🔥 CRITICAL,YES,,“Uncle Tom’s Cabin” (1852) .
Lord Byron Major Works,130,🔥 CRITICAL,YES,,Hours of Idleness was his first poetry book.
The Way of the World 1700,130,🔥 CRITICAL,YES,,Premiered March 1700 at Lincoln’s Inn Fields.
An Essay on Criticism 1711 Taste and the Ideal Critic,130,🔥 CRITICAL,YES,,Warns against dangers of faulty criticism .
The Second Coming,130,🔥 CRITICAL,YES,"2024, 2025",The poem uses Christian imagery regarding the Apocalypse and Second Coming.
Christopher Marlowe 156493,130,🔥 CRITICAL,YES,,Accused of atheism and immorality .
Sir Richard Steele 16721729,130,🔥 CRITICAL,YES,,Best known for The Tatler .
Postmodernism Crisis of Representation and Identity,130,🔥 CRITICAL,YES,,Did not revive classical scholarship .
Jane Austen 17751817,130,🔥 CRITICAL,YES,,Most novels were written near Southampton.
Aimé Césaire 19132008 Négritude and AntiColonial Poetics,130,🔥 CRITICAL,YES,,Coined the term Négritude in French
Charlotte Brontës Jane Eyre 1847,130,🔥 CRITICAL,YES,,Charlotte Brontë published Jane Eyre as “Currer Bell.”
Oliver Twist 18371839,130,🔥 CRITICAL,YES,,Alternate title: The Parish Boy’s Progress.
Biographia Literaria 1817 Coleridges Monument of Criticism,130,🔥 CRITICAL,YES,,Distinguished between Fancy and Imagination .
The Faerie Queene,125,🔥 CRITICAL,YES,2024,Published in 1590 and 1596
Thomas Gray 17161771 Key Points for UGC NET English,120,🔥 CRITICAL,YES,,Educated at Eton and Cambridge University.
Elegy Written in a Country Churchyard 1751  35 Key Points,120,🔥 CRITICAL,YES,,Written near Stoke Poges parish church.
Associated writers Asked in Exam,120,🔥 CRITICAL,YES,,Associated writers:
Seamus Heaney 19392013 Life and Career,120,🔥 CRITICAL,YES,,Seamus Heaney was an Irish poet.
Ode on a Grecian Urn Asked in Exam,120,🔥 CRITICAL,YES,,🏺 Ode on a Grecian Urn
The Graveyard Poets of the 18th Century  25 Key Points,120,🔥 CRITICAL,YES,,"Common imagery included “skulls, coffins, epitaphs, and worms.”"
Shakespeare the Sonneteer,120,🔥 CRITICAL,YES,,"First printed by Thomas Thorpe, 1609."
Robinson Crusoe 1719 by Daniel Defoe,120,🔥 CRITICAL,YES,,Full title records Crusoe’s “Strange Surprizing Adventures.”
William Congreve 16701729,120,🔥 CRITICAL,YES,,Plays appeared between 1693 and 1700.
Essentially English excluding poets from other UK regions Asked in Exam,120,🔥 CRITICAL,YES,,"Essentially English, excluding poets from other UK regions."
George Eliot 18191880,120,🔥 CRITICAL,YES,,George Eliot was real name Mary Ann Evans.
A Tale of Two Cities 1859,120,🔥 CRITICAL,YES,,Set during the French Revolution in France.
Vanity Fair 1848,120,🔥 CRITICAL,YES,,William Makepeace Thackeray was born in Calcutta .
Joseph Addison 16721719,120,🔥 CRITICAL,YES,,Wrote The Campaign in 1704 .
To His Coy Mistress 1681,120,🔥 CRITICAL,YES,,Poem published in 1681
Oscar Wilde 18541900,120,🔥 CRITICAL,YES,,Oscar Wilde was an Irish poet and playwright.
Andrew Marvell 16211678,120,🔥 CRITICAL,YES,,He sat in House of Commons .
Henry James 18431916,120,🔥 CRITICAL,YES,,Henry James was a nineteenth-century realism writer.
Thomas Hardy 18401928,120,🔥 CRITICAL,YES,,Thomas Hardy was born in Dorset in 1840.
Virginia Woolf 18821941,120,🔥 CRITICAL,YES,,Father Sir Leslie Stephen founded Dictionary of National Biography.
Othello 1604,120,🔥 CRITICAL,YES,,Moorish general secretly marries Desdemona.
Women in Love 1920  DH Lawrence,120,🔥 CRITICAL,YES,,Published in 1920 as The Rainbow sequel.
Ode Intimations of Immortality,120,🔥 CRITICAL,YES,,Full title: Ode: Intimations of Immortality from Recollections of Early Childhood.
Lord of the Flies 1954,120,🔥 CRITICAL,YES,,"Published in 1954, this novel shocked readers."
Beowulf,115,🔥 CRITICAL,YES,2024,Produced between 975–1025 AD .
Ralph Waldo Emerson 18031882 Nature SelfReliance and the American Soul,110,🔥 CRITICAL,YES,,Nature (1836) declared divinity in nature .
A Midsummer Nights Dream,110,🔥 CRITICAL,YES,,"Central event: Wedding of Theseus, Hippolyta."
William Wordsworth 17701850 Preface as Romantic Manifesto,110,🔥 CRITICAL,YES,,Revised expanded version appeared 1802 .
Globalization and Cultural Consumption Negotiating Power and Meaning,110,🔥 CRITICAL,YES,,"Culture treated as political, not aesthetic ."
JM Synge 18711909,110,🔥 CRITICAL,YES,,Synge was a key figure in the Irish Revival.
Paradise Lost Book IX,110,🔥 CRITICAL,YES,,Milton shifts poem into tragic mode
If 1910  Rudyard Kipling,110,🔥 CRITICAL,YES,,"Written around 1895, published in 1910."
William Blake 17571827,110,🔥 CRITICAL,YES,,Apprenticed to an engraver at 14.
Summary of Exam,110,🔥 CRITICAL,YES,,Apprenticed at 14
The Love Song of J Alfred Prufrock 1917,110,🔥 CRITICAL,YES,,"""Prufrock"" is T. S. Eliot’s first published poem. ✅"
The Hawk in the Rain 1957,110,🔥 CRITICAL,YES,,Contained total of 40 poems.
Published in 1928 by D H Lawrence Asked in Exam,110,🔥 CRITICAL,YES,,Published in 1928 by D. H. Lawrence.
Pamela 1740,110,🔥 CRITICAL,YES,,Published his first novel at age fifty.
Longinus On the Sublime,110,🔥 CRITICAL,YES,,"“The Sublime leads the listeners, not to persuasion, but ecstasy…”"
Philip Larkin 19221985 Life and Career,110,🔥 CRITICAL,YES,,Published The North Ship in 1945. ✅
Roundheads and Cavalier Poets  Key Points,110,🔥 CRITICAL,YES,,The English Civil War lasted 1642–1651.
The History of Tom Jones a Foundling 1749,110,🔥 CRITICAL,YES,,Published in 1749 by Henry Fielding.
The White Mans Burden 1899  by Rudyard Kipling,110,🔥 CRITICAL,YES,,Written by Rudyard Kipling in 1899.
Sidneys Arcadia  A Pastoral Romance,110,🔥 CRITICAL,YES,,Written towards the end of 16th century .
Epistle to Dr Arbuthnot 1735,110,🔥 CRITICAL,YES,,"Arbuthnot was physician, Scriblerus Club member."
John Locke 16321704,110,🔥 CRITICAL,YES,,"British philosopher, Oxford academic, medical researcher."
Philip Sidney 15541586 Poetry Virtue and the Elizabethan Defence,110,🔥 CRITICAL,YES,,Arcadia influenced by Jorge de Montemayor’s Diana .
Adam Bede 1859,110,🔥 CRITICAL,YES,,Published in three volumes in 1859.
Plots,105,🔥 CRITICAL,YES,2024,The play begins with Andrea’s ghost.
Other Works,105,🔥 CRITICAL,YES,2025,Jonathan Wild the Great (1743) is a satire.
Metaphysical Poets,105,🔥 CRITICAL,YES,"2024, 2025",Samuel Johnson coined term “Metaphysical poets.”
William Cowper 17311800 Key 30 Points,100,🔥 CRITICAL,YES,,William Cowper wrote about everyday life.
Ethnographic Culture Context Meaning and Thick Description,100,🔥 CRITICAL,YES,,Ethnography studies cultures in natural settings
Antonio Gramsci 18911937 Cultural Hegemony and the Philosophy of Praxis,100,🔥 CRITICAL,YES,,"Prison Notebooks focus on philosophy, culture, literature ."
Heres a list of famous poems by Ted Hughes,100,🔥 CRITICAL,YES,,The Thought-Fox
Edgar Allan Poe 18091849 The Raven 1845 and the Master of Macabre,100,🔥 CRITICAL,YES,,The Raven (1845)  cultural sensation.
1712 The Rape of the Lock enlarged in 1714 Asked in Exam,100,🔥 CRITICAL,YES,,1712: The Rape of the Lock (enlarged in 1714)
Robert Louis Stevenson 18501894,100,🔥 CRITICAL,YES,,Famous for Treasure Island (1883).
Lives of the Most Eminent English Poets 17791781 Biography and Criticism,100,🔥 CRITICAL,YES,,Metaphysical poets were “singular in their thoughts” .
Lewis Carroll 18321898,100,🔥 CRITICAL,YES,,Lewis Carroll’s real name was Charles Lutwidge Dodgson.
Francesco Petrarch 13041374 Father of Humanism,100,🔥 CRITICAL,YES,,Called the Father of Humanism .
Pride and Prejudice 1813,100,🔥 CRITICAL,YES,,"Published in 1813, Austen’s most famous novel."
The Windhover To Christ Our Lord 1877,100,🔥 CRITICAL,YES,,"Written in 1877, published posthumously in 1918."
Jean Baudrillard 19292007 Simulacra Simulation and the Hyperreal,100,🔥 CRITICAL,YES,,His key work: Simulacra and Simulation (1981).
In a Station of the Metro 1913,100,🔥 CRITICAL,YES,,“In a Station of the Metro” published April 1913.
T S Eliot 18881965 Life and Literary Career,100,🔥 CRITICAL,YES,,"Birth date September twenty-sixth, eighteen eighty-eight."
Culture and Anarchy 1869 Culture Sweetness and Light,100,🔥 CRITICAL,YES,,Defines culture as “a study of perfection.”
Greek Theatre 550220 BC Ritual Tragedy and Comedy,100,🔥 CRITICAL,YES,,Originated in festivals dedicated to Dionysus .
Custodians of Classical Knowledge Institutions and Archives,100,🔥 CRITICAL,YES,,Asiatic Society Kolkata founded in 1784 .
Emily Brontës Wuthering Heights 1847,100,🔥 CRITICAL,YES,,Wuthering Heights published in 1847 under Ellis Bell.
The Faerie Queene Plot and Allegory,100,🔥 CRITICAL,YES,,Spenser wrote preface letter to Sir Walter Raleigh.
John Stuart Mill 18061873 Utilitarian Ethics and the Poetics of Feeling,100,🔥 CRITICAL,YES,,Wrote The Subjection of Women .
POETRY OF LORD BYRON,100,🔥 CRITICAL,YES,,First volume Hours of Idleness (1807).
Sir Philip Sidney 155486,100,🔥 CRITICAL,YES,,"Born in Kent, England, in 1554."
The Tempest 1611,100,🔥 CRITICAL,YES,,Written and performed around 1611 .
Act I,95,🔥 CRITICAL,YES,"2024, 2025",Introduces Vladimir (Didi) and Estragon (Gogo) waiting.
Sense and Sensibility 1811,90,🔥 CRITICAL,YES,,Published in 1811.
The New Classicism,90,🔥 CRITICAL,YES,,Elizabethan writers lacked discipline and genius.
Rudyard Kipling 18651936,90,🔥 CRITICAL,YES,,"Rudyard Kipling was born in Bombay, 1865."
Emma 1815,90,🔥 CRITICAL,YES,,Heroine “whom no one but myself will much like.”
W B Yeats 18651939,90,🔥 CRITICAL,YES,,Yeats was born in Dublin in 1865.
Platos View on Poetry Imitation Emotion and Moral Doubt,90,🔥 CRITICAL,YES,,Poetry is twice removed from reality .
The Cocktail Party 1949,90,🔥 CRITICAL,YES,,The Cocktail Party is a play by T. S. Eliot.
William Shakespeare 15641616,90,🔥 CRITICAL,YES,,"Born in Stratford-upon-Avon, 1564"
Songs of Experience 1794,90,🔥 CRITICAL,YES,,Published in 1794 with 26 poems.
The Castle of Otranto 176465,90,🔥 CRITICAL,YES,,"Published in 1764, first Gothic novel."
Thomas De Quincey 17851859 Opium Dreams and Confessional Prose,90,🔥 CRITICAL,YES,,Famous for Confessions of an English Opium-Eater (1821) .
Volpone 160506,90,🔥 CRITICAL,YES,,Mix of city comedy and beast fable .
The Task A Poem in Six Books Asked in Exam,90,🔥 CRITICAL,YES,,"The Task: A Poem, in Six Books."
She Stoops to Conquer 1773  Oliver Goldsmith,90,🔥 CRITICAL,YES,,Written by Oliver Goldsmith in 1773.
Centre for Contemporary Cultural Studies 19642002 The Birmingham School,90,🔥 CRITICAL,YES,,Hoggart introduced term “Cultural Studies” in 1964 .
Republic Justice Forms and the Critique of Art,90,🔥 CRITICAL,YES,,"36th Dialogue with Glaucon, Adeimantus ."
The Study of Poetry 1880 Poetry as High Seriousness and Criticism of Life,90,🔥 CRITICAL,YES,,Poetry has a “high destiny” .
E P Thompson 19241993 History from Below and WorkingClass Consciousness,90,🔥 CRITICAL,YES,,Critiqued capitalism as not inherently superior .
Riders to the Sea 1904,90,🔥 CRITICAL,YES,,One-act tragedy set in the Aran Islands.
Songs of Innocence 1789,90,🔥 CRITICAL,YES,,First printed and illustrated by Blake in 1789.
Ezra Pound  Life and Literary Career,90,🔥 CRITICAL,YES,,Ezra Pound shaped the entire modernist poetic movement.
Marxist Literary Theory Base Superstructure and Class Struggle,90,🔥 CRITICAL,YES,,Marxism = politics and scientific theory .
I Wandered Lonely as a Cloud,90,🔥 CRITICAL,YES,,Inspired by Wordsworth’s real daffodil encounter .
Rise of the Periodical Press,90,🔥 CRITICAL,YES,,"First periodical: Gazetta (1536), Venice ."
David Copperfield 18491850,90,🔥 CRITICAL,YES,,Full title: The Personal History of David Copperfield.
John Drydens Absalom and Achitophel 1681,90,🔥 CRITICAL,YES,,Uses Biblical allegory of Absalom’s rebellion.
The Tatler 1709,90,🔥 CRITICAL,YES,,"Steele used pseudonym Isaac Bickerstaff, Esquire."
Shakespeares Poetry,90,🔥 CRITICAL,YES,,These poems were among earliest works .
Alexander Popes Career,90,🔥 CRITICAL,YES,,Pope’s earliest poem was Ode to Solitude.
EVELYN WAUGH 19031966,90,🔥 CRITICAL,YES,,Decline and Fall (1928) first major success.
Dramatis Personae 1864,90,🔥 CRITICAL,YES,,"""Caliban upon Setebos"" explores savage faith."
Sonnets from the Portuguese 1850,90,🔥 CRITICAL,YES,,Published in the year she married.
Brontë Sisters,90,🔥 CRITICAL,YES,,"Their father was Patrick Brontë, an Irish clergyman."
American Romanticism and the American Renaissance 18301865,90,🔥 CRITICAL,YES,,James Fenimore Cooper’s Leatherstocking Tales (1823–1841) .
John Donne 15731631,90,🔥 CRITICAL,YES,,"Studied law at Lincoln’s Inn, 1592."
London 1802  William Wordsworth 1802,90,🔥 CRITICAL,YES,,A passionate appeal to John Milton’s soul.
John Dryden 16311700 Father of English Criticism,90,🔥 CRITICAL,YES,,John Dryden called “Father of English Criticism” .
Death of a Naturalist 1966,90,🔥 CRITICAL,YES,,Death of a Naturalist published in 1966. ✅
Do Not Go Gentle into That Good Night,85,🔥 CRITICAL,YES,2025,“Do Not Go Gentle” is a villanelle.
Poems in Two Volumes 1807 Asked in Exam,80,🔥 CRITICAL,YES,,"Poems, in Two Volumes (1807)"
Spenserian Stanza Asked in Exam,80,🔥 CRITICAL,YES,,Spenserian Stanza
Features of Wordsworths Poetry,80,🔥 CRITICAL,YES,,Wordsworth’s poetry shows inequality and limitations.
These translations enabled transcultural philosophical dialogue,80,🔥 CRITICAL,YES,,"Charles Wilkins (1749–1836)
– The Bhagavad Gita (1785) 
– First English translation of a major Sanskrit philosophical text."
Chronological list of Henry David Thoreaus major works,80,🔥 CRITICAL,YES,,Lincoln elegies “O Captain! My Captain!” .
A Christmas Carol 1843,80,🔥 CRITICAL,YES,,"Full title: A Christmas Carol, in Prose: Being a Ghost Story of Christmas."
Matthew Arnold 18221888,80,🔥 CRITICAL,YES,,"Graduated from Balliol College, Oxford with distinction."
John Milton 16081674 Poetry Politics and Intellectual Freedom,80,🔥 CRITICAL,YES,,"Educated at Cambridge, nicknamed “The Lady of Christ’s” ."
Restoration Prose,80,🔥 CRITICAL,YES,,Restoration prose was dominated by Christian religion.
The Ring and the Book 186869,80,🔥 CRITICAL,YES,,Published in four volumes between 1868–1869.
Part I  Christians Journey,80,🔥 CRITICAL,YES,,Christian begins in City of Destruction.
The Country Wife 1675,80,🔥 CRITICAL,YES,,The Country Wife staged in 1675 .
Past and Present 1843 Asked in Exam,80,🔥 CRITICAL,YES,,"Past and Present (1843),"
Maud and Other Poems 1855 Asked in Exam,80,🔥 CRITICAL,YES,,Maud and Other Poems (1855):
Essay on Man 17331734,80,🔥 CRITICAL,YES,,"Published in 1733–1734, dedicated to Bolingbroke."
And Death Shall Have No Dominion 1933,80,🔥 CRITICAL,YES,,Dylan Thomas wrote “And Death Shall Have No Dominion.” ✅
Historical Background of the Restoration  25 Key Points,80,🔥 CRITICAL,YES,,Restoration of monarchy in 1660 .
North 1975,80,🔥 CRITICAL,YES,,North published in 1975 by Seamus Heaney. ✅
Tristram Shandy 1759,80,🔥 CRITICAL,YES,,Arthur Schopenhauer called it “an immortal romance.”
The Anatomy of Melancholy 1621,80,🔥 CRITICAL,YES,,Full title is extremely long .
The Forsyte Saga 1922,80,🔥 CRITICAL,YES,,First novel: The Man of Property (1906).
Kim 1901  by Rudyard Kipling,80,🔥 CRITICAL,YES,,"Published in 1901, Kipling’s final major novel."
The Lamb Songs of Innocence 1789,80,🔥 CRITICAL,YES,,Published in Songs of Innocence in 1789.
The Frankfurt School Critical Theory and the Culture Industry,80,🔥 CRITICAL,YES,,"The Frankfurt School, founded in 1925 at the Institute for Social Research in Frankfurt, was the first Marxist-oriented research center affiliated with a German university. Frankfurt School facts: founded in 1925 in Germany, coined Critical Theory, forced into exile during the Nazi era, and associated with key figures such as Adorno, Horkheimer, Benjamin, and Löwenthal . Under Max Horkheimer’s directorship, it brought together thinkers such as Theodor W. Adorno, Erich Fromm, Herbert Marcuse, Friedrich Pollock, and Leo Löwenthal, with Walter Benjamin as a close associate. They developed Critical Theory, combining Marx’s historical materialism, Hegelian dialectics, Freudian psychoanalysis, Weber’s sociology, and Lukács’s Marxism, while critiquing both capitalism and rigid Marxism–Leninism. Their work expanded classical Marxism by addressing twentieth-century concerns like fascism, authoritarianism, and consumer capitalism."
She dominates the lives of kings and conquerors in fiction Asked in Exam,80,🔥 CRITICAL,YES,,"""She dominates the lives of kings and conquerors in fiction."""
Thomas Carlyle 17951881 History Symbols and the Condition of England,80,🔥 CRITICAL,YES,,Introduced German Romanticism through Schiller (1825) .
Waiting For Godot 1953,80,🔥 CRITICAL,YES,,Waiting for Godot is a tragicomedy in two acts.
Dante Alighieri  The Divine Comedy and the Vernacular,80,🔥 CRITICAL,YES,,Established Tuscan vernacular in literature .
The Alchemist 1610,80,🔥 CRITICAL,YES,,Play set in plague-stricken London .
Lines Written a Few Miles above Tintern Abbey,80,🔥 CRITICAL,YES,,Full title: Lines Composed a Few Miles above Tintern Abbey…
Ted Hughes 19301998 Life and Career,80,🔥 CRITICAL,YES,,Married Sylvia Plath in 1956.
Ho,80,🔥 CRITICAL,YES,,"Frankfurt School founded in Germany, 1925"
Mary Shelley 17971851,80,🔥 CRITICAL,YES,,Daughter of William Godwin and Mary Wollstonecraft.
Edward Young 16831765  20 Key Points,80,🔥 CRITICAL,YES,,Edward Young is best known for Night-Thoughts.
Francis Bacon 15611626 Empiricism and the English Essay,80,🔥 CRITICAL,YES,,Remembered as father of empiricism .
Charles Dickens 18121870,80,🔥 CRITICAL,YES,,"His father, like Micawber, faced money troubles."
A HANDFUL OF DUST 1934,80,🔥 CRITICAL,YES,,A Handful of Dust published in 1934.
The Hind and the Panther 1687,80,🔥 CRITICAL,YES,,"Published in 1687, longest of Dryden’s poems."
Stephen Gosson 15541624 Theatre Morality and Invective,80,🔥 CRITICAL,YES,,Wrote The Schoole of Abuse (1579) .
JONATHAN SWIFT 16671745,80,🔥 CRITICAL,YES,,"Swift was born in Dublin, 1667."
Jerome K Jerome 18591927,80,🔥 CRITICAL,YES,,His first book On the Stage—and Off (1885) .
Dylan Thomas 19141953 Life and Literary Career,80,🔥 CRITICAL,YES,,"Described technique as ""conflicting images"" breeding new ones. ✅"
The Mill on the Floss 1860,80,🔥 CRITICAL,YES,,The Mill on the Floss was published in 1860.
Four Quartets 1943,80,🔥 CRITICAL,YES,,"Titles: Burnt Norton, East Coker, The Dry Salvages, Little Gidding. ✅"
Renaissance Criticism Humanism Tradition and Cultural Revival,80,🔥 CRITICAL,YES,,Giorgio Valla translated Aristotle’s Poetics in 1498 .
Pied Beauty 1877 Published 1918,80,🔥 CRITICAL,YES,,Written in 1877 and published in 1918.
The Picture of Dorian Gray 1891,80,🔥 CRITICAL,YES,,A philosophical novel exploring art and morality.
Samson Agonistes 1671,80,🔥 CRITICAL,YES,,Samson Agonistes is Milton’s tragic closet drama.
PreRaphaelite Brotherhood 1848,80,🔥 CRITICAL,YES,,Formed in 1848 by young British painters.
Twelfth Night 1601,80,🔥 CRITICAL,YES,,Duke Orsino loves Countess Olivia deeply.
Frantz Fanon 19251961 The Psychology of Colonization and Decolonization,80,🔥 CRITICAL,YES,,Colonial oppression worked primarily through race .
Daniel Defoe 16601731 Father of the English Novel,80,🔥 CRITICAL,YES,,The Review began in 1704 .
Byzantium 1930,80,🔥 CRITICAL,YES,,Poem opens with Byzantium’s night bringing peace.
Notable works,75,🔥 CRITICAL,YES,2024,Death of a Naturalist (1966)
Thomas Chatterton,75,🔥 CRITICAL,YES,2024,Died tragically at age 17.
Prose,75,🔥 CRITICAL,YES,"2024, 2025",The Sacred Wood (1920)
Poetry,75,🔥 CRITICAL,YES,"2024, 2025",Gerontion (1920)
Plays,75,🔥 CRITICAL,YES,"2024, 2025",A Change of Heart (1872)
The ThoughtFox,70,🔥 CRITICAL,YES,,"Born in Yorkshire, England — ."
John Osborne 19291994 Life and Career,70,🔥 CRITICAL,YES,,Known for Look Back in Anger .
The Plough and the Stars 1926,70,🔥 CRITICAL,YES,,Written by Sean O’Casey in 1926.
Endymion 1817  John Keats,70,🔥 CRITICAL,YES,,Published in 1817 and dedicated to Thomas Chatterton.
The Eve of St Agnes 1819,70,🔥 CRITICAL,YES,,Written by John Keats in 1819.
Bog Poems,70,🔥 CRITICAL,YES,,"Bog bodies inspired poems like Bog Queen, Punishment. ✅"
John Galsworthy 18671933,70,🔥 CRITICAL,YES,,Won the Nobel Prize in Literature (1932). 🏅
Shaws Plays,70,🔥 CRITICAL,YES,,Widowers’ Houses (1885) attacked slum landlords.
The Bard A Pindaric Ode  20 Key Points,70,🔥 CRITICAL,YES,,Set at Edward I’s conquest of Wales.
FRANCIS BACON BARON VERULAM VISCOUNT ST ALBANS 15611626,70,🔥 CRITICAL,YES,,Latin works considered more important .
The Tyger Songs of Experience 1794,70,🔥 CRITICAL,YES,,Published in Songs of Experience (1794).
James Joyce 18821941,70,🔥 CRITICAL,YES,,Raised in a middle-class Catholic family.
Sophocles c 496406 BCE The Master of Tragedy,70,🔥 CRITICAL,YES,,Introduced the third actor .
Adonais 1821,70,🔥 CRITICAL,YES,,Adonais written by Shelley in 1821.
When We Two Parted 1816 Asked in Exam,70,🔥 CRITICAL,YES,,When We Two Parted (1816)
Christabel by Samuel Taylor Coleridge,70,🔥 CRITICAL,YES,,Christabel is a long narrative ballad.
